Player,Liga,Season,Pos,Squad,Height,Value
ro abajas,La-Liga,2024-2025,Left-Back,valencia cf,1.86,100000.0
max aarons,La-Liga,2024-2025,Right-Back,valencia cf,1.77,6000000.0
thierry correia,La-Liga,2024-2025,Right-Back,valencia cf,1.76,3000000.0
dimitri foulquier,La-Liga,2024-2025,Right-Back,valencia cf,1.83,1500000.0
enzo barrenechea,La-Liga,2024-2025,Defensive Midfield,valencia cf,1.86,10000000.0
pepelu,La-Liga,2024-2025,Defensive Midfield,valencia cf,1.86,9000000.0
hugo guillamon,La-Liga,2024-2025,Defensive Midfield,valencia cf,1.78,2500000.0
javi guerra,La-Liga,2024-2025,Central Midfield,valencia cf,1.87,25000000.0
pedro aleman,La-Liga,2024-2025,Central Midfield,valencia cf,1.82,200000.0
lucas nunez,La-Liga,2024-2025,Central Midfield,valencia cf,1.83,25000.0
andre almeida,La-Liga,2024-2025,Attacking Midfield,valencia cf,1.76,10000000.0
ivan jaime,La-Liga,2024-2025,Attacking Midfield,valencia cf,1.8,5000000.0
martin tejon,La-Liga,2024-2025,Attacking Midfield,valencia cf,1.65,500000.0
luis rioja,La-Liga,2024-2025,Left Winger,valencia cf,1.76,2000000.0
sergi canos,La-Liga,2024-2025,Left Winger,valencia cf,1.77,1000000.0
pablo lopez,La-Liga,2024-2025,Left Winger,valencia cf,1.75,50000.0
diego lopez,La-Liga,2024-2025,Right Winger,valencia cf,1.72,15000000.0
fran perez,La-Liga,2024-2025,Right Winger,valencia cf,1.76,3000000.0
german valera,La-Liga,2024-2025,Right Winger,valencia cf,1.7,1500000.0
david otorbi,La-Liga,2024-2025,Right Winger,valencia cf,1.8,500000.0
hamza bellari,La-Liga,2024-2025,Right Winger,valencia cf,,100000.0
ismael santana,La-Liga,2024-2025,Right Winger,valencia cf,,25000.0
hugo duro,La-Liga,2024-2025,Centre-Forward,valencia cf,1.77,14000000.0
umar sadiq,La-Liga,2024-2025,Centre-Forward,valencia cf,1.91,5000000.0
dani gomez,La-Liga,2024-2025,Centre-Forward,valencia cf,1.78,1000000.0
alberto mari,La-Liga,2024-2025,Centre-Forward,valencia cf,1.83,1000000.0
rafa mir,La-Liga,2024-2025,Centre-Forward,valencia cf,1.91,800000.0
warren madrigal,La-Liga,2024-2025,Centre-Forward,valencia cf,1.85,400000.0
alvaro fernandez,La-Liga,2024-2025,Goalkeeper,sevilla fc,1.85,2000000.0
rjan nyland,La-Liga,2024-2025,Goalkeeper,sevilla fc,1.92,900000.0
alberto flores,La-Liga,2024-2025,Goalkeeper,sevilla fc,1.87,300000.0
matias arbol,La-Liga,2024-2025,Goalkeeper,sevilla fc,1.84,100000.0
