Player,Liga,Season,Pos,Squad,Height,Value
rafa romero,La-Liga,2024-2025,Goalkeeper,sevilla fc,1.9,
loic bade,La-Liga,2024-2025,Centre-Back,sevilla fc,1.91,25000000.0
kike salas,La-Liga,2024-2025,Centre-Back,sevilla fc,1.88,8000000.0
marcao,La-Liga,2024-2025,Centre-Back,sevilla fc,1.85,2000000.0
tanguy nianzou,La-Liga,2024-2025,Centre-Back,sevilla fc,1.91,1500000.0
ramon martinez,La-Liga,2024-2025,Centre-Back,sevilla fc,1.85,1000000.0
andres castrin,La-Liga,2024-2025,Centre-Back,sevilla fc,1.88,250000.0
adria pedrosa,La-Liga,2024-2025,Left-Back,sevilla fc,1.72,7000000.0
diego hormigo,La-Liga,2024-2025,Left-Back,sevilla fc,1.82,300000.0
oso,La-Liga,2024-2025,Left-Back,sevilla fc,1.83,200000.0
jose angel carmona,La-Liga,2024-2025,Right-Back,sevilla fc,1.84,12000000.0
juanlu sanchez,La-Liga,2024-2025,Right-Back,sevilla fc,1.86,12000000.0
gonzalo montiel,La-Liga,2024-2025,Right-Back,sevilla fc,1.75,5000000.0
dario benavides,La-Liga,2024-2025,Right-Back,sevilla fc,1.78,300000.0
jesus navas,La-Liga,2024-2025,Right-Back,sevilla fc,1.7,
lucien agoume,La-Liga,2024-2025,Defensive Midfield,sevilla fc,1.85,8000000.0
nemanja gudelj,La-Liga,2024-2025,Defensive Midfield,sevilla fc,1.87,3000000.0
valentin barco,La-Liga,2024-2025,Central Midfield,sevilla fc,1.7,12000000.0
albert sambi lokonga,La-Liga,2024-2025,Central Midfield,sevilla fc,1.83,8000000.0
djibril sow,La-Liga,2024-2025,Central Midfield,sevilla fc,1.84,7500000.0
saul niguez,La-Liga,2024-2025,Central Midfield,sevilla fc,1.84,3000000.0
manu bueno,La-Liga,2024-2025,Central Midfield,sevilla fc,1.78,1500000.0
pedro ortiz,La-Liga,2024-2025,Central Midfield,sevilla fc,1.84,600000.0
pablo rivera,La-Liga,2024-2025,Central Midfield,sevilla fc,1.78,200000.0
alberto collado,La-Liga,2024-2025,Central Midfield,sevilla fc,,200000.0
lulo dasilva,La-Liga,2024-2025,Central Midfield,sevilla fc,1.89,150000.0
stanis idumbo,La-Liga,2024-2025,Attacking Midfield,sevilla fc,1.71,2500000.0
ruben vargas,La-Liga,2024-2025,Left Winger,sevilla fc,1.79,7000000.0
lucas ocampos,La-Liga,2024-2025,Left Winger,sevilla fc,1.87,6000000.0
chidera ejuke,La-Liga,2024-2025,Left Winger,sevilla fc,1.76,4000000.0
isra dominguez,La-Liga,2024-2025,Left Winger,sevilla fc,1.75,200000.0
dodi lukebakio,La-Liga,2024-2025,Right Winger,sevilla fc,1.87,20000000.0
suso,La-Liga,2024-2025,Right Winger,sevilla fc,1.77,1500000.0
peque fernandez,La-Liga,2024-2025,Second Striker,sevilla fc,1.72,3500000.0
isaac romero,La-Liga,2024-2025,Centre-Forward,sevilla fc,1.83,6000000.0
akor adams,La-Liga,2024-2025,Centre-Forward,sevilla fc,1.9,5000000.0
kelechi iheanacho,La-Liga,2024-2025,Centre-Forward,sevilla fc,1.85,4500000.0
garcia pascual,La-Liga,2024-2025,Centre-Forward,sevilla fc,1.9,1000000.0
mateo mejia,La-Liga,2024-2025,Centre-Forward,sevilla fc,1.81,400000.0
leandro antonetti,La-Liga,2024-2025,Centre-Forward,sevilla fc,1.89,300000.0
pau lopez,La-Liga,2024-2025,Goalkeeper,girona fc,1.89,2500000.0
paulo gazzaniga,La-Liga,2024-2025,Goalkeeper,girona fc,1.95,2500000.0
vladyslav krapyvtsov,La-Liga,2024-2025,Goalkeeper,girona fc,1.88,200000.0
juan carlos,La-Liga,2024-2025,Goalkeeper,girona fc,1.87,100000.0
aleksandar andreev,La-Liga,2024-2025,Goalkeeper,girona fc,1.9,
lucas garcia,La-Liga,2024-2025,Goalkeeper,girona fc,,
jordi danso,La-Liga,2024-2025,Goalkeeper,girona fc,,
pau funallet,La-Liga,2024-2025,Goalkeeper,girona fc,,
ladislav krejci,La-Liga,2024-2025,Centre-Back,girona fc,1.91,12000000.0
daley blind,La-Liga,2024-2025,Centre-Back,girona fc,1.8,1500000.0
david lopez,La-Liga,2024-2025,Centre-Back,girona fc,1.85,1000000.0
juanpe,La-Liga,2024-2025,Centre-Back,girona fc,1.9,600000.0
oriol comas,La-Liga,2024-2025,Centre-Back,girona fc,1.9,
antal yaakobishvili,La-Liga,2024-2025,Centre-Back,girona fc,1.93,
marc aznar,La-Liga,2024-2025,Centre-Back,girona fc,1.79,
miguel gutierrez,La-Liga,2024-2025,Left-Back,girona fc,1.8,20000000.0
arnau martinez,La-Liga,2024-2025,Right-Back,girona fc,1.82,10000000.0
alejandro frances,La-Liga,2024-2025,Right-Back,girona fc,1.82,2000000.0
ferran ruiz,La-Liga,2024-2025,Right-Back,girona fc,1.72,
arthur melo,La-Liga,2024-2025,Defensive Midfield,girona fc,1.72,5000000.0
oriol romeu,La-Liga,2024-2025,Defensive Midfield,girona fc,1.83,1200000.0
selvi clua,La-Liga,2024-2025,Defensive Midfield,girona fc,1.89,300000.0
yangel herrera,La-Liga,2024-2025,Central Midfield,girona fc,1.84,15000000.0
donny van de beek,La-Liga,2024-2025,Central Midfield,girona fc,1.84,5000000.0
jhon solis,La-Liga,2024-2025,Central Midfield,girona fc,1.86,2500000.0
enric garcia,La-Liga,2024-2025,Central Midfield,girona fc,,
raul martinez,La-Liga,2024-2025,Central Midfield,girona fc,,
ivan martin,La-Liga,2024-2025,Attacking Midfield,girona fc,1.78,6000000.0
gabriel misehouy,La-Liga,2024-2025,Attacking Midfield,girona fc,1.73,1000000.0
ricard artero,La-Liga,2024-2025,Attacking Midfield,girona fc,1.81,
bryan gil,La-Liga,2024-2025,Left Winger,girona fc,1.75,15000000.0
arnaut danjuma,La-Liga,2024-2025,Left Winger,girona fc,1.78,4000000.0
joel roca,La-Liga,2024-2025,Left Winger,girona fc,1.76,1000000.0
toni villa,La-Liga,2024-2025,Left Winger,girona fc,1.72,800000.0
minsu kim,La-Liga,2024-2025,Left Winger,girona fc,1.77,300000.0
juan arango,La-Liga,2024-2025,Left Winger,girona fc,1.75,
jastin garcia,La-Liga,2024-2025,Left Winger,girona fc,1.8,
viktor tsygankov,La-Liga,2024-2025,Right Winger,girona fc,1.78,18000000.0
yaser asprilla,La-Liga,2024-2025,Right Winger,girona fc,1.76,15000000.0
portu,La-Liga,2024-2025,Right Winger,girona fc,1.67,1800000.0
iker almena,La-Liga,2024-2025,Right Winger,girona fc,1.77,1300000.0
papa ba,La-Liga,2024-2025,Right Winger,girona fc,1.8,
abel ruiz,La-Liga,2024-2025,Centre-Forward,girona fc,1.82,4000000.0
bojan miovski,La-Liga,2024-2025,Centre-Forward,girona fc,1.89,2500000.0
cristhian stuani,La-Liga,2024-2025,Centre-Forward,girona fc,1.84,1000000.0
dawda camara,La-Liga,2024-2025,Centre-Forward,girona fc,1.88,
ivan villar,La-Liga,2024-2025,Goalkeeper,celta de vigo,1.86,900000.0
vicente guaita,La-Liga,2024-2025,Goalkeeper,celta de vigo,1.9,700000.0
marc vidal,La-Liga,2024-2025,Goalkeeper,celta de vigo,1.85,300000.0
coke carrillo,La-Liga,2024-2025,Goalkeeper,celta de vigo,1.88,200000.0
cesar fernandez,La-Liga,2024-2025,Goalkeeper,celta de vigo,1.81,200000.0
javi rodriguez,La-Liga,2024-2025,Centre-Back,celta de vigo,1.78,15000000.0
carl starfelt,La-Liga,2024-2025,Centre-Back,celta de vigo,1.87,6000000.0
carlos dominguez,La-Liga,2024-2025,Centre-Back,celta de vigo,1.87,3000000.0
joseph aidoo,La-Liga,2024-2025,Centre-Back,celta de vigo,1.81,1200000.0
yoel lago,La-Liga,2024-2025,Centre-Back,celta de vigo,1.85,1000000.0
marcos alonso,La-Liga,2024-2025,Left-Back,celta de vigo,1.88,1500000.0
mihailo ristic,La-Liga,2024-2025,Left-Back,celta de vigo,1.8,900000.0
tincho conde,La-Liga,2024-2025,Left-Back,celta de vigo,,300000.0
oscar mingueza,La-Liga,2024-2025,Right-Back,celta de vigo,1.84,20000000.0
sergio carreira,La-Liga,2024-2025,Right-Back,celta de vigo,1.7,4000000.0
javier manquillo,La-Liga,2024-2025,Right-Back,celta de vigo,1.78,1000000.0
damian rodriguez,La-Liga,2024-2025,Defensive Midfield,celta de vigo,1.8,3000000.0
jailson,La-Liga,2024-2025,Defensive Midfield,celta de vigo,1.87,1000000.0
fran beltran,La-Liga,2024-2025,Central Midfield,celta de vigo,1.65,8000000.0
ilaix moriba,La-Liga,2024-2025,Central Midfield,celta de vigo,1.85,6000000.0
hugo sotelo,La-Liga,2024-2025,Central Midfield,celta de vigo,1.8,4000000.0
luca de la torre,La-Liga,2024-2025,Central Midfield,celta de vigo,1.77,2000000.0
miguel roman,La-Liga,2024-2025,Central Midfield,celta de vigo,1.78,400000.0
fer lopez,La-Liga,2024-2025,Attacking Midfield,celta de vigo,1.88,5000000.0
hugo alvarez,La-Liga,2024-2025,Left Winger,celta de vigo,1.76,7500000.0
alfon gonzalez,La-Liga,2024-2025,Left Winger,celta de vigo,1.72,5000000.0
williot swedberg,La-Liga,2024-2025,Left Winger,celta de vigo,1.87,5000000.0
jonathan bamba,La-Liga,2024-2025,Left Winger,celta de vigo,1.75,3500000.0
franco cervi,La-Liga,2024-2025,Left Winger,celta de vigo,1.66,800000.0
tadeo allende,La-Liga,2024-2025,Right Winger,celta de vigo,1.83,2000000.0
jones elabdellaoui,La-Liga,2024-2025,Right Winger,celta de vigo,1.84,1500000.0
iker losada,La-Liga,2024-2025,Second Striker,celta de vigo,1.75,1500000.0
anastasios douvikas,La-Liga,2024-2025,Centre-Forward,celta de vigo,1.86,10000000.0
pablo duran,La-Liga,2024-2025,Centre-Forward,celta de vigo,1.76,3500000.0
borja iglesias,La-Liga,2024-2025,Centre-Forward,celta de vigo,1.87,3000000.0
iago aspas,La-Liga,2024-2025,Centre-Forward,celta de vigo,1.76,2000000.0
dinko horkas,La-Liga,2024-2025,Goalkeeper,ud las palmas,1.89,1200000.0
jasper cillessen,La-Liga,2024-2025,Goalkeeper,ud las palmas,1.87,800000.0
alvaro killane,La-Liga,2024-2025,Goalkeeper,ud las palmas,1.86,
victor puig,La-Liga,2024-2025,Goalkeeper,ud las palmas,,
israel mora,La-Liga,2024-2025,Goalkeeper,ud las palmas,,
mika marmol,La-Liga,2024-2025,Centre-Back,ud las palmas,1.81,10000000.0
scott mckenna,La-Liga,2024-2025,Centre-Back,ud las palmas,1.89,4000000.0
juanma herzog,La-Liga,2024-2025,Centre-Back,ud las palmas,1.86,2500000.0
andy pelmard,La-Liga,2024-2025,Centre-Back,ud las palmas,1.81,2000000.0
alex suarez,La-Liga,2024-2025,Centre-Back,ud las palmas,1.8,1000000.0
valentino raca,La-Liga,2024-2025,Centre-Back,ud las palmas,1.93,
alex munoz,La-Liga,2024-2025,Left-Back,ud las palmas,1.87,1000000.0
daley sinkgraven,La-Liga,2024-2025,Left-Back,ud las palmas,1.79,600000.0
diego martin,La-Liga,2024-2025,Left-Back,ud las palmas,,
viti rozada,La-Liga,2024-2025,Right-Back,ud las palmas,1.72,2000000.0
marvin park,La-Liga,2024-2025,Right-Back,ud las palmas,1.77,1200000.0
valentin pezzolesi,La-Liga,2024-2025,Right-Back,ud las palmas,,100000.0
dario essugo,La-Liga,2024-2025,Defensive Midfield,ud las palmas,1.78,20000000.0
stefan bajcetic,La-Liga,2024-2025,Defensive Midfield,ud las palmas,1.85,9000000.0
javi munoz,La-Liga,2024-2025,Central Midfield,ud las palmas,1.77,2000000.0
enzo loiodice,La-Liga,2024-2025,Central Midfield,ud las palmas,1.77,1200000.0
jose campana,La-Liga,2024-2025,Central Midfield,ud las palmas,1.79,900000.0
fabio gonzalez,La-Liga,2024-2025,Central Midfield,ud las palmas,1.76,500000.0
aboubacar bassinga,La-Liga,2024-2025,Central Midfield,ud las palmas,,100000.0
kirian rodriguez,La-Liga,2024-2025,Attacking Midfield,ud las palmas,1.78,1000000.0
ivan gil,La-Liga,2024-2025,Attacking Midfield,ud las palmas,1.68,800000.0
sergio viera,La-Liga,2024-2025,Attacking Midfield,ud las palmas,,
josito gonzalez,La-Liga,2024-2025,Attacking Midfield,ud las palmas,,
alberto moleiro,La-Liga,2024-2025,Left Winger,ud las palmas,1.71,25000000.0
benito ramirez,La-Liga,2024-2025,Left Winger,ud las palmas,1.79,700000.0
sergio ruiz,La-Liga,2024-2025,Left Winger,ud las palmas,1.75,
arturo rodriguez,La-Liga,2024-2025,Left Winger,ud las palmas,,
manu fuster,La-Liga,2024-2025,Right Winger,ud las palmas,1.69,1500000.0
adnan januzaj,La-Liga,2024-2025,Right Winger,ud las palmas,1.86,1200000.0
pejino,La-Liga,2024-2025,Right Winger,ud las palmas,1.78,800000.0
saliou mandiang,La-Liga,2024-2025,Right Winger,ud las palmas,1.83,
fabio silva,La-Liga,2024-2025,Centre-Forward,ud las palmas,1.85,20000000.0
oli mcburnie,La-Liga,2024-2025,Centre-Forward,ud las palmas,1.88,2500000.0
sandro ramirez,La-Liga,2024-2025,Centre-Forward,ud las palmas,1.74,2500000.0
marc cardona,La-Liga,2024-2025,Centre-Forward,ud las palmas,1.82,800000.0
jaime mata,La-Liga,2024-2025,Centre-Forward,ud las palmas,1.86,400000.0
elias romero,La-Liga,2024-2025,Centre-Forward,ud las palmas,,
joan garcia,La-Liga,2024-2025,Goalkeeper,rcd espanyol barcelona,1.94,25000000.0
fernando pacheco,La-Liga,2024-2025,Goalkeeper,rcd espanyol barcelona,1.87,800000.0
angel fortuno,La-Liga,2024-2025,Goalkeeper,rcd espanyol barcelona,1.83,300000.0
pol tristan,La-Liga,2024-2025,Goalkeeper,rcd espanyol barcelona,1.88,100000.0
llorenc serred,La-Liga,2024-2025,Goalkeeper,rcd espanyol barcelona,,25000.0
marash kumbulla,La-Liga,2024-2025,Centre-Back,rcd espanyol barcelona,1.91,7500000.0
fernando calero,La-Liga,2024-2025,Centre-Back,rcd espanyol barcelona,1.84,1500000.0
leandro cabrera,La-Liga,2024-2025,Centre-Back,rcd espanyol barcelona,1.9,1000000.0
sergi gomez,La-Liga,2024-2025,Centre-Back,rcd espanyol barcelona,1.85,600000.0
jose luis catala,La-Liga,2024-2025,Centre-Back,rcd espanyol barcelona,1.88,150000.0
pablo ramon,La-Liga,2024-2025,Centre-Back,rcd espanyol barcelona,1.84,100000.0
roger hinojo,La-Liga,2024-2025,Centre-Back,rcd espanyol barcelona,,50000.0
carlos romero,La-Liga,2024-2025,Left-Back,rcd espanyol barcelona,1.74,5000000.0
brian olivan,La-Liga,2024-2025,Left-Back,rcd espanyol barcelona,1.75,1800000.0
omar el hilali,La-Liga,2024-2025,Right-Back,rcd espanyol barcelona,1.83,15000000.0
alvaro tejero,La-Liga,2024-2025,Right-Back,rcd espanyol barcelona,1.74,1800000.0
jose angel lopez,La-Liga,2024-2025,Right-Back,rcd espanyol barcelona,,150000.0
urko gonzalez de zarate,La-Liga,2024-2025,Defensive Midfield,rcd espanyol barcelona,1.89,5000000.0
alex kral,La-Liga,2024-2025,Central Midfield,rcd espanyol barcelona,1.86,6000000.0
pol lozano,La-Liga,2024-2025,Central Midfield,rcd espanyol barcelona,1.76,5000000.0
edu exposito,La-Liga,2024-2025,Central Midfield,rcd espanyol barcelona,1.78,3000000.0
jose gragera,La-Liga,2024-2025,Central Midfield,rcd espanyol barcelona,1.86,2000000.0
alvaro aguado,La-Liga,2024-2025,Central Midfield,rcd espanyol barcelona,1.75,1800000.0
justin smith,La-Liga,2024-2025,Central Midfield,rcd espanyol barcelona,1.89,300000.0
rafel bauza,La-Liga,2024-2025,Central Midfield,rcd espanyol barcelona,1.83,200000.0
javi puado,La-Liga,2024-2025,Left Winger,rcd espanyol barcelona,1.77,10000000.0
naci unuvar,La-Liga,2024-2025,Left Winger,rcd espanyol barcelona,1.68,2000000.0
pere milla,La-Liga,2024-2025,Left Winger,rcd espanyol barcelona,1.8,1200000.0
alex almansa,La-Liga,2024-2025,Left Winger,rcd espanyol barcelona,1.86,200000.0
jofre carreras,La-Liga,2024-2025,Right Winger,rcd espanyol barcelona,1.75,3000000.0
antoniu roca,La-Liga,2024-2025,Right Winger,rcd espanyol barcelona,1.8,1800000.0
salvi sanchez,La-Liga,2024-2025,Right Winger,rcd espanyol barcelona,1.7,600000.0
roberto fernandez,La-Liga,2024-2025,Centre-Forward,rcd espanyol barcelona,1.86,6000000.0
irvin cardona,La-Liga,2024-2025,Centre-Forward,rcd espanyol barcelona,1.85,2500000.0
alejo veliz,La-Liga,2024-2025,Centre-Forward,rcd espanyol barcelona,1.86,2500000.0
walid cheddira,La-Liga,2024-2025,Centre-Forward,rcd espanyol barcelona,1.87,2500000.0
omar sadik,La-Liga,2024-2025,Centre-Forward,rcd espanyol barcelona,1.85,500000.0
sergio herrera,La-Liga,2024-2025,Goalkeeper,ca osasuna,1.92,3000000.0
aitor fernandez,La-Liga,2024-2025,Goalkeeper,ca osasuna,1.82,700000.0
pablo valencia,La-Liga,2024-2025,Goalkeeper,ca osasuna,1.88,200000.0
dimitrios stamatakis,La-Liga,2024-2025,Goalkeeper,ca osasuna,1.91,200000.0
rafa fernandez,La-Liga,2024-2025,Goalkeeper,ca osasuna,1.87,25000.0
enzo boyomo,La-Liga,2024-2025,Centre-Back,ca osasuna,1.84,20000000.0
jorge herrando,La-Liga,2024-2025,Centre-Back,ca osasuna,1.92,4000000.0
alejandro catena,La-Liga,2024-2025,Centre-Back,ca osasuna,1.94,3000000.0
unai garcia,La-Liga,2024-2025,Centre-Back,ca osasuna,1.86,800000.0
ismael sierra,La-Liga,2024-2025,Centre-Back,ca osasuna,1.92,200000.0
abel bretones,La-Liga,2024-2025,Left-Back,ca osasuna,1.88,4000000.0
juan cruz,La-Liga,2024-2025,Left-Back,ca osasuna,1.82,1500000.0
jesus areso,La-Liga,2024-2025,Right-Back,ca osasuna,1.82,12000000.0
nacho vidal,La-Liga,2024-2025,Right-Back,ca osasuna,1.8,1800000.0
ruben pena,La-Liga,2024-2025,Right-Back,ca osasuna,1.7,1200000.0
inigo arguibide,La-Liga,2024-2025,Right-Back,ca osasuna,1.78,200000.0
lucas torro,La-Liga,2024-2025,Defensive Midfield,ca osasuna,1.9,3000000.0
iker munoz,La-Liga,2024-2025,Defensive Midfield,ca osasuna,1.8,3000000.0
jon moncayola,La-Liga,2024-2025,Central Midfield,ca osasuna,1.82,7000000.0
pablo ibanez,La-Liga,2024-2025,Central Midfield,ca osasuna,1.79,2000000.0
aimar oroz,La-Liga,2024-2025,Attacking Midfield,ca osasuna,1.77,15000000.0
javi martinez,La-Liga,2024-2025,Attacking Midfield,ca osasuna,1.81,800000.0
asier osambela,La-Liga,2024-2025,Attacking Midfield,ca osasuna,1.86,500000.0
jon garcia,La-Liga,2024-2025,Attacking Midfield,ca osasuna,1.82,300000.0
bryan zaragoza,La-Liga,2024-2025,Left Winger,ca osasuna,1.64,12000000.0
moi gomez,La-Liga,2024-2025,Left Winger,ca osasuna,1.76,2000000.0
jose manuel arnaiz,La-Liga,2024-2025,Left Winger,ca osasuna,1.73,1500000.0
ruben garcia,La-Liga,2024-2025,Right Winger,ca osasuna,1.72,2000000.0
iker benito,La-Liga,2024-2025,Right Winger,ca osasuna,1.76,1500000.0
kike barja,La-Liga,2024-2025,Right Winger,ca osasuna,1.79,1500000.0
ante budimir,La-Liga,2024-2025,Centre-Forward,ca osasuna,1.9,5000000.0
raul garcia,La-Liga,2024-2025,Centre-Forward,ca osasuna,1.92,3000000.0
sixtus ogbuehi,La-Liga,2024-2025,Centre-Forward,ca osasuna,1.92,200000.0
carlos lumbreras,La-Liga,2024-2025,Centre-Forward,ca osasuna,1.8,150000.0
antonio sivera,La-Liga,2024-2025,Goalkeeper,deportivo alaves,1.85,6000000.0
jesus owono,La-Liga,2024-2025,Goalkeeper,deportivo alaves,1.86,900000.0
adrian rodriguez,La-Liga,2024-2025,Goalkeeper,deportivo alaves,1.95,200000.0
gregoire swiderski,La-Liga,2024-2025,Goalkeeper,deportivo alaves,1.87,150000.0
abdel abqar,La-Liga,2024-2025,Centre-Back,deportivo alaves,1.88,7500000.0
santiago mourino,La-Liga,2024-2025,Centre-Back,deportivo alaves,1.86,3000000.0
facundo garces,La-Liga,2024-2025,Centre-Back,deportivo alaves,1.91,2000000.0
moussa diarra,La-Liga,2024-2025,Centre-Back,deportivo alaves,1.85,1800000.0
adrian pica,La-Liga,2024-2025,Centre-Back,deportivo alaves,1.9,1200000.0
aleksandar sedlar,La-Liga,2024-2025,Centre-Back,deportivo alaves,1.8,300000.0
manu sanchez,La-Liga,2024-2025,Left-Back,deportivo alaves,1.71,6000000.0
eneko ortiz,La-Liga,2024-2025,Left-Back,deportivo alaves,,150000.0
nahuel tenaglia,La-Liga,2024-2025,Right-Back,deportivo alaves,1.81,3000000.0
hugo novoa,La-Liga,2024-2025,Right-Back,deportivo alaves,1.82,1500000.0
egoitz munoz,La-Liga,2024-2025,Right-Back,deportivo alaves,,200000.0
alejandro jay,La-Liga,2024-2025,Right-Back,deportivo alaves,1.81,150000.0
antonio blanco,La-Liga,2024-2025,Defensive Midfield,deportivo alaves,1.76,10000000.0
carlos protesoni,La-Liga,2024-2025,Defensive Midfield,deportivo alaves,1.85,1200000.0
ander guevara,La-Liga,2024-2025,Central Midfield,deportivo alaves,1.8,3500000.0
jon guridi,La-Liga,2024-2025,Central Midfield,deportivo alaves,1.79,3000000.0
carles alena,La-Liga,2024-2025,Central Midfield,deportivo alaves,1.8,2500000.0
joan jordan,La-Liga,2024-2025,Central Midfield,deportivo alaves,1.85,2500000.0
daouda doumbia,La-Liga,2024-2025,Central Midfield,deportivo alaves,1.88,200000.0
lander pinillos,La-Liga,2024-2025,Attacking Midfield,deportivo alaves,,150000.0
carlos martin,La-Liga,2024-2025,Left Winger,deportivo alaves,1.84,2800000.0
luis rioja,La-Liga,2024-2025,Left Winger,deportivo alaves,1.76,2000000.0
tomas conechny,La-Liga,2024-2025,Left Winger,deportivo alaves,1.76,1800000.0
abde rebbach,La-Liga,2024-2025,Left Winger,deportivo alaves,1.76,700000.0
carlos vicente,La-Liga,2024-2025,Right Winger,deportivo alaves,1.79,10000000.0
luka romero,La-Liga,2024-2025,Right Winger,deportivo alaves,1.69,4000000.0
julen lartitegi,La-Liga,2024-2025,Right Winger,deportivo alaves,1.84,50000.0
stoichkov,La-Liga,2024-2025,Second Striker,deportivo alaves,1.78,1500000.0
joaquin panichelli,La-Liga,2024-2025,Centre-Forward,deportivo alaves,1.9,7000000.0
toni martinez,La-Liga,2024-2025,Centre-Forward,deportivo alaves,1.87,2500000.0
asier villalibre,La-Liga,2024-2025,Centre-Forward,deportivo alaves,1.82,1200000.0
kike garcia,La-Liga,2024-2025,Centre-Forward,deportivo alaves,1.86,900000.0
pau cabanes,La-Liga,2024-2025,Centre-Forward,deportivo alaves,1.79,800000.0
david soria,La-Liga,2024-2025,Goalkeeper,getafe cf,1.92,3000000.0
jiri letacek,La-Liga,2024-2025,Goalkeeper,getafe cf,1.96,2000000.0
jorge benito,La-Liga,2024-2025,Goalkeeper,getafe cf,,25000.0
djordjije medenica,La-Liga,2024-2025,Goalkeeper,getafe cf,,
diego ferrer,La-Liga,2024-2025,Goalkeeper,getafe cf,,
omar alderete,La-Liga,2024-2025,Centre-Back,getafe cf,1.88,8000000.0
dakonam djene,La-Liga,2024-2025,Centre-Back,getafe cf,1.78,1800000.0
juan berrocal,La-Liga,2024-2025,Centre-Back,getafe cf,1.87,1500000.0
domingos duarte,La-Liga,2024-2025,Centre-Back,getafe cf,1.92,800000.0
