Player,Squad,Liga,Season,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR
arnaut danjuma,girona,La-Liga,2024-2025,1997,25,15,1335,2,0,2,0,91,41,185
sergi darder,mallorca,La-Liga,2024-2025,1993,38,34,2744,2,6,4,0,37,142,83
rodrigo de paul,atletico madrid,La-Liga,2024-2025,1994,34,23,2106,3,5,7,0,85,231,64
mouctar diakhaby,valencia,La-Liga,2024-2025,1996,13,7,653,2,0,0,0,5,14,2
assane diao,betis,La-Liga,2024-2025,2005,10,2,277,1,2,0,0,9,1,27
moussa diarra,alaves,La-Liga,2024-2025,2000,26,20,1866,0,0,6,0,12,70,31
brahim diaz,real madrid,La-Liga,2024-2025,1999,31,16,1385,4,2,0,0,39,74,110
daniel diaz,real sociedad,La-Liga,2024-2025,2006,1,0,10,0,0,0,0,0,0,0
pedro diaz,rayo vallecano,La-Liga,2024-2025,1998,26,12,1211,3,0,2,0,27,62,49
diego,leganes,La-Liga,2024-2025,2000,28,13,1195,3,0,2,0,9,16,49
stole dimitrievski,valencia,La-Liga,2024-2025,1993,4,4,360,0,0,1,0,0,0,0
yan diomande,leganes,La-Liga,2024-2025,2006,10,6,545,2,1,1,0,37,16,64
alvaro djalo,athletic club,La-Liga,2024-2025,1999,17,7,659,1,0,2,0,22,13,60
djene,getafe,La-Liga,2024-2025,1991,31,31,2548,0,0,10,1,18,74,21
marko dmitrovic,leganes,La-Liga,2024-2025,1992,32,32,2880,0,0,0,0,0,1,0
marc domenech,mallorca,La-Liga,2024-2025,2006,10,3,303,0,0,0,0,1,4,21
carlos dominguez,celta vigo,La-Liga,2024-2025,2001,19,13,1181,0,0,1,0,15,66,4
israel dominguez,sevilla,La-Liga,2024-2025,2003,1,0,18,0,0,0,0,0,0,0
sergi dominguez,barcelona,La-Liga,2024-2025,2005,3,2,172,0,0,1,0,0,13,1
anastasios douvikas,celta vigo,La-Liga,2024-2025,1999,20,6,700,3,1,2,0,6,6,43
domingos duarte,getafe,La-Liga,2024-2025,1995,22,21,1859,1,0,4,2,3,47,3
duk,leganes,La-Liga,2024-2025,2000,10,1,179,0,0,1,0,10,3,21
pablo duran,celta vigo,La-Liga,2024-2025,2001,27,15,1394,4,4,3,0,24,30,124
hugo duro,valencia,La-Liga,2024-2025,1999,31,25,2166,11,2,5,0,13,28,88
chidera ejuke,sevilla,La-Liga,2024-2025,1998,25,9,966,2,1,0,0,75,38,101
aritz elustondo,real sociedad,La-Liga,2024-2025,1994,22,16,1457,0,0,2,1,17,51,4
adri embarba,rayo vallecano,La-Liga,2024-2025,1992,35,18,1607,1,1,4,0,47,45,114
endrick,real madrid,La-Liga,2024-2025,2006,22,3,363,1,0,1,0,12,8,32
alfonso espino,rayo vallecano,La-Liga,2024-2025,1992,16,9,833,0,1,4,0,10,39,29
dario essugo,las palmas,La-Liga,2024-2025,2005,27,25,1938,1,0,11,2,18,76,8
etienne etoo,rayo vallecano,La-Liga,2024-2025,2002,2,0,40,0,0,0,0,0,0,1
karl etta,villarreal,La-Liga,2024-2025,2003,4,0,37,1,0,0,0,0,0,0
edu exposito,espanyol,La-Liga,2024-2025,1996,19,12,1045,0,2,3,0,23,64,41
abde ezzalzouli,betis,La-Liga,2024-2025,2001,32,23,1984,2,2,2,0,117,68,215
ansu fati,barcelona,La-Liga,2024-2025,2002,6,3,233,0,0,1,0,7,6,32
nabil fekir,betis,La-Liga,2024-2025,1993,2,2,180,0,1,0,0,9,10,18
kiko femenia,villarreal,La-Liga,2024-2025,1991,28,27,2227,0,1,7,0,52,112,44
aitor fernandez,osasuna,La-Liga,2024-2025,1991,1,1,90,0,0,0,0,0,0,0
alvaro fernandez,sevilla,La-Liga,2024-2025,1998,9,8,747,0,0,2,0,0,0,0
pelayo fernandez,rayo vallecano,La-Liga,2024-2025,2003,2,1,98,0,0,1,0,0,1,0
roberto fernandez,espanyol,La-Liga,2024-2025,2002,19,18,1497,6,0,1,0,7,17,50
valery fernandez,mallorca,La-Liga,2024-2025,1999,18,1,309,2,0,1,0,2,5,14
andre ferreira,valladolid,La-Liga,2024-2025,1996,6,6,540,0,0,0,0,0,0,0
mateo flores,betis,La-Liga,2024-2025,2004,6,1,153,0,0,1,0,0,9,2
pablo fornals,betis,La-Liga,2024-2025,1996,26,22,1827,2,0,2,0,32,146,85
hector fort,barcelona,La-Liga,2024-2025,2006,17,5,585,0,0,2,0,14,26,33
dimitri foulquier,valencia,La-Liga,2024-2025,1993,32,25,2299,0,1,6,0,48,97,66
juan foyth,villarreal,La-Liga,2024-2025,1998,19,17,1517,1,0,4,0,13,65,11
fran,real madrid,La-Liga,2024-2025,2005,1,1,90,0,0,0,0,0,0,0
alejandro frances,girona,La-Liga,2024-2025,2002,18,13,1173,0,0,2,0,18,63,21
enric franquesa,leganes,La-Liga,2024-2025,1997,12,7,616,1,0,1,0,11,12,30
jorge de frutos,rayo vallecano,La-Liga,2024-2025,1997,36,30,2495,6,3,3,1,77,44,201
dario fuentes,sevilla,La-Liga,2024-2025,2003,1,0,5,0,0,1,0,0,0,0
manuel fuster,las palmas,La-Liga,2024-2025,1997,28,8,1003,2,1,2,0,23,71,75
javi galan,atletico madrid,La-Liga,2024-2025,1994,25,21,1784,0,3,8,0,52,54,107
inigo ruiz de galarreta,athletic club,La-Liga,2024-2025,1993,26,18,1477,0,4,5,0,27,137,39
conor gallagher,atletico madrid,La-Liga,2024-2025,2000,32,19,1633,3,3,2,0,24,64,64
facundo garces,alaves,La-Liga,2024-2025,1999,10,7,678,0,0,2,0,3,12,3
alvaro garcia,rayo vallecano,La-Liga,2024-2025,1992,36,28,2559,4,5,4,0,68,71,245
eric garcia,barcelona,La-Liga,2024-2025,2001,29,14,1566,2,3,4,0,18,109,22
fran garcia,real madrid,La-Liga,2024-2025,1999,31,24,2171,0,2,0,0,78,119,177
gonzalo garcia,real madrid,La-Liga,2024-2025,2004,3,0,56,0,1,0,0,0,0,3
joan garcia,espanyol,La-Liga,2024-2025,2001,38,38,3420,0,0,2,0,0,1,0
pablo garcia,betis,La-Liga,2024-2025,2006,3,0,38,0,0,0,0,2,0,8
ruben garcia,osasuna,La-Liga,2024-2025,1993,36,30,2413,5,5,2,0,37,112,157
unai garcia,osasuna,La-Liga,2024-2025,1992,3,1,65,0,0,0,0,0,3,0
yarek gasiorowski,valencia,La-Liga,2024-2025,2005,15,9,947,0,0,1,0,9,38,0
gavi,barcelona,La-Liga,2024-2025,2004,26,14,1085,1,1,4,0,13,77,42
paulo gazzaniga,girona,La-Liga,2024-2025,1992,36,36,3195,0,0,4,0,0,0,0
bryan gil,girona,La-Liga,2024-2025,2001,25,21,1721,3,3,4,0,76,74,210
dani gomez,valencia,La-Liga,2024-2025,1998,14,5,532,2,0,0,0,3,6,24
moi gomez,osasuna,La-Liga,2024-2025,1994,26,6,796,0,0,1,0,13,49,16
sergi gomez,espanyol,La-Liga,2024-2025,1992,12,6,664,0,0,1,0,0,8,1
sergio gomez,real sociedad,La-Liga,2024-2025,2000,37,31,2738,2,5,4,0,43,93,154
unai gomez,athletic club,La-Liga,2024-2025,2003,32,14,1284,1,3,1,0,19,23,49
fabio gonzalez,las palmas,La-Liga,2024-2025,1997,2,0,53,0,0,0,0,0,6,0
peter gonzalez,getafe,La-Liga,2024-2025,2002,17,2,477,0,0,1,0,8,6,33
urko gonzalez,espanyol,La-Liga,2024-2025,2001,17,16,1374,0,2,2,0,18,62,8
urko gonzalez,real sociedad,La-Liga,2024-2025,2001,1,1,45,0,0,1,0,0,1,0
andoni gorosabel,athletic club,La-Liga,2024-2025,1996,20,17,1485,0,2,5,0,17,51,59
jose gragera,espanyol,La-Liga,2024-2025,2000,10,7,569,0,0,0,0,1,14,3
dominik greif,mallorca,La-Liga,2024-2025,1997,31,31,2790,0,0,1,0,0,0,0
antoine griezmann,atletico madrid,La-Liga,2024-2025,1991,38,29,2469,8,7,2,0,46,143,177
florian grillitsch,valladolid,La-Liga,2024-2025,1995,13,7,623,0,0,1,0,9,38,7
vicente guaita,celta vigo,La-Liga,2024-2025,1987,34,34,3060,0,0,0,0,0,1,0
sergi guardiola,rayo vallecano,La-Liga,2024-2025,1991,16,1,362,0,0,1,0,2,3,22
nemanja gudelj,sevilla,La-Liga,2024-2025,1991,31,27,2493,1,1,6,0,14,64,5
javier guerra,valencia,La-Liga,2024-2025,2003,36,31,2581,3,3,5,0,50,137,84
ander guevara,alaves,La-Liga,2024-2025,1997,33,20,1947,0,1,3,0,14,112,19
pape gueye,villarreal,La-Liga,2024-2025,1999,34,26,2224,4,0,6,2,36,156,69
hugo guillamon,valencia,La-Liga,2024-2025,2000,12,4,364,0,0,2,0,0,15,5
carlos guirao,betis,La-Liga,2024-2025,2003,2,2,110,0,0,0,0,1,2,2
arda guler,real madrid,La-Liga,2024-2025,2005,28,14,1250,3,4,1,0,34,93,86
gerard gumbau,rayo vallecano,La-Liga,2024-2025,1994,22,7,849,0,1,4,0,2,41,21
jon guridi,alaves,La-Liga,2024-2025,1995,33,27,2080,3,1,6,0,27,79,90
gorka guruzeta,athletic club,La-Liga,2024-2025,1996,36,21,1840,7,2,2,0,8,31,64
miguel gutierrez,girona,La-Liga,2024-2025,2001,29,29,2458,1,5,4,0,63,103,199
munir el haddadi,leganes,La-Liga,2024-2025,1995,25,10,862,4,0,1,1,11,29,42
sebastien haller,leganes,La-Liga,2024-2025,1994,8,5,404,0,0,0,0,3,4,14
henrique,valladolid,La-Liga,2024-2025,1994,5,4,352,0,0,0,0,2,12,4
javi hernandez,leganes,La-Liga,2024-2025,1998,31,27,2389,2,1,6,0,40,80,90
aridane hernandez,rayo vallecano,La-Liga,2024-2025,1989,14,11,1025,0,0,1,0,2,38,0
jorge herrando,osasuna,La-Liga,2024-2025,2001,18,15,1366,1,0,3,0,7,38,1
ander herrera,athletic club,La-Liga,2024-2025,1989,8,2,273,0,0,2,0,2,16,5
sergio herrera,osasuna,La-Liga,2024-2025,1993,37,37,3330,0,0,5,0,0,2,0
yangel herrera,girona,La-Liga,2024-2025,1998,29,27,2257,4,3,10,1,31,110,99
juan herzog,las palmas,La-Liga,2024-2025,2003,19,15,1315,0,0,1,0,0,27,1
omar el hilali,espanyol,La-Liga,2024-2025,2003,36,36,3153,0,2,11,0,35,84,61
