Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
abde ezzalzouli,Betis,2001.0,32,23,1984,2,2,2,0,117,68,215,2024-2025,laliga
ansu fati,Barcelona,2002.0,6,3,233,0,0,1,0,7,6,32,2024-2025,laliga
nabil fekir,Betis,1993.0,2,2,180,0,1,0,0,9,10,18,2024-2025,laliga
kiko femenia,Villarreal,1991.0,28,27,2227,0,1,7,0,52,112,44,2024-2025,laliga
aitor fernandez,Osasuna,1991.0,1,1,90,0,0,0,0,0,0,0,2024-2025,laliga
alvaro fernandez,Sevilla,1998.0,9,8,747,0,0,2,0,0,0,0,2024-2025,laliga
pelayo fernandez,Rayo Vallecano,2003.0,2,1,98,0,0,1,0,0,1,0,2024-2025,laliga
roberto fernandez,Espanyol,2002.0,19,18,1497,6,0,1,0,7,17,50,2024-2025,laliga
valery fernandez,Mallorca,1999.0,18,1,309,2,0,1,0,2,5,14,2024-2025,laliga
andre ferreira,Valladolid,1996.0,6,6,540,0,0,0,0,0,0,0,2024-2025,laliga
mateo flores,Betis,2004.0,6,1,153,0,0,1,0,0,9,2,2024-2025,laliga
pablo fornals,Betis,1996.0,26,22,1827,2,0,2,0,32,146,85,2024-2025,laliga
hector fort,Barcelona,2006.0,17,5,585,0,0,2,0,14,26,33,2024-2025,laliga
dimitri foulquier,Valencia,1993.0,32,25,2299,0,1,6,0,48,97,66,2024-2025,laliga
juan foyth,Villarreal,1998.0,19,17,1517,1,0,4,0,13,65,11,2024-2025,laliga
fran,Real Madrid,2005.0,1,1,90,0,0,0,0,0,0,0,2024-2025,laliga
alejandro frances,Girona,2002.0,18,13,1173,0,0,2,0,18,63,21,2024-2025,laliga
enric franquesa,Leganés,1997.0,12,7,616,1,0,1,0,11,12,30,2024-2025,laliga
jorge de frutos,Rayo Vallecano,1997.0,36,30,2495,6,3,3,1,77,44,201,2024-2025,laliga
dario fuentes,Sevilla,2003.0,1,0,5,0,0,1,0,0,0,0,2024-2025,laliga
manuel fuster,Las Palmas,1997.0,28,8,1003,2,1,2,0,23,71,75,2024-2025,laliga
javi galan,Atlético Madrid,1994.0,25,21,1784,0,3,8,0,52,54,107,2024-2025,laliga
inigo ruiz de galarreta,Athletic Club,1993.0,26,18,1477,0,4,5,0,27,137,39,2024-2025,laliga
conor gallagher,Atlético Madrid,2000.0,32,19,1633,3,3,2,0,24,64,64,2024-2025,laliga
facundo garces,Alavés,1999.0,10,7,678,0,0,2,0,3,12,3,2024-2025,laliga
alvaro garcia,Rayo Vallecano,1992.0,36,28,2559,4,5,4,0,68,71,245,2024-2025,laliga
eric garcia,Barcelona,2001.0,29,14,1566,2,3,4,0,18,109,22,2024-2025,laliga
fran garcia,Real Madrid,1999.0,31,24,2171,0,2,0,0,78,119,177,2024-2025,laliga
gonzalo garcia,Real Madrid,2004.0,3,0,56,0,1,0,0,0,0,3,2024-2025,laliga
joan garcia,Espanyol,2001.0,38,38,3420,0,0,2,0,0,1,0,2024-2025,laliga
pablo garcia,Betis,2006.0,3,0,38,0,0,0,0,2,0,8,2024-2025,laliga
ruben garcia,Osasuna,1993.0,36,30,2413,5,5,2,0,37,112,157,2024-2025,laliga
unai garcia,Osasuna,1992.0,3,1,65,0,0,0,0,0,3,0,2024-2025,laliga
yarek gasiorowski,Valencia,2005.0,15,9,947,0,0,1,0,9,38,0,2024-2025,laliga
gavi,Barcelona,2004.0,26,14,1085,1,1,4,0,13,77,42,2024-2025,laliga
paulo gazzaniga,Girona,1992.0,36,36,3195,0,0,4,0,0,0,0,2024-2025,laliga
bryan gil,Girona,2001.0,25,21,1721,3,3,4,0,76,74,210,2024-2025,laliga
dani gomez,Valencia,1998.0,14,5,532,2,0,0,0,3,6,24,2024-2025,laliga
moi gomez,Osasuna,1994.0,26,6,796,0,0,1,0,13,49,16,2024-2025,laliga
sergi gomez,Espanyol,1992.0,12,6,664,0,0,1,0,0,8,1,2024-2025,laliga
sergio gomez,Real Sociedad,2000.0,37,31,2738,2,5,4,0,43,93,154,2024-2025,laliga
unai gomez,Athletic Club,2003.0,32,14,1284,1,3,1,0,19,23,49,2024-2025,laliga
fabio gonzalez,Las Palmas,1997.0,2,0,53,0,0,0,0,0,6,0,2024-2025,laliga
peter gonzalez,Getafe,2002.0,17,2,477,0,0,1,0,8,6,33,2024-2025,laliga
urko gonzalez,Espanyol,2001.0,17,16,1374,0,2,2,0,18,62,8,2024-2025,laliga
urko gonzalez,Real Sociedad,2001.0,1,1,45,0,0,1,0,0,1,0,2024-2025,laliga
andoni gorosabel,Athletic Club,1996.0,20,17,1485,0,2,5,0,17,51,59,2024-2025,laliga
jose gragera,Espanyol,2000.0,10,7,569,0,0,0,0,1,14,3,2024-2025,laliga
dominik greif,Mallorca,1997.0,31,31,2790,0,0,1,0,0,0,0,2024-2025,laliga
antoine griezmann,Atlético Madrid,1991.0,38,29,2469,8,7,2,0,46,143,177,2024-2025,laliga
florian grillitsch,Valladolid,1995.0,13,7,623,0,0,1,0,9,38,7,2024-2025,laliga
vicente guaita,Celta Vigo,1987.0,34,34,3060,0,0,0,0,0,1,0,2024-2025,laliga
sergi guardiola,Rayo Vallecano,1991.0,16,1,362,0,0,1,0,2,3,22,2024-2025,laliga
nemanja gudelj,Sevilla,1991.0,31,27,2493,1,1,6,0,14,64,5,2024-2025,laliga
javier guerra,Valencia,2003.0,36,31,2581,3,3,5,0,50,137,84,2024-2025,laliga
ander guevara,Alavés,1997.0,33,20,1947,0,1,3,0,14,112,19,2024-2025,laliga
pape gueye,Villarreal,1999.0,34,26,2224,4,0,6,2,36,156,69,2024-2025,laliga
hugo guillamon,Valencia,2000.0,12,4,364,0,0,2,0,0,15,5,2024-2025,laliga
carlos guirao,Betis,2003.0,2,2,110,0,0,0,0,1,2,2,2024-2025,laliga
arda guler,Real Madrid,2005.0,28,14,1250,3,4,1,0,34,93,86,2024-2025,laliga
gerard gumbau,Rayo Vallecano,1994.0,22,7,849,0,1,4,0,2,41,21,2024-2025,laliga
jon guridi,Alavés,1995.0,33,27,2080,3,1,6,0,27,79,90,2024-2025,laliga
gorka guruzeta,Athletic Club,1996.0,36,21,1840,7,2,2,0,8,31,64,2024-2025,laliga
miguel gutierrez,Girona,2001.0,29,29,2458,1,5,4,0,63,103,199,2024-2025,laliga
munir el haddadi,Leganés,1995.0,25,10,862,4,0,1,1,11,29,42,2024-2025,laliga
sebastien haller,Leganés,1994.0,8,5,404,0,0,0,0,3,4,14,2024-2025,laliga
henrique,Valladolid,1994.0,5,4,352,0,0,0,0,2,12,4,2024-2025,laliga
javi hernandez,Leganés,1998.0,31,27,2389,2,1,6,0,40,80,90,2024-2025,laliga
