Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
martin frese,Hellas Verona,182,71.1,92.9,71.7,34.6,0.2,0.2,-0.2,14,4,0,2024-2025,serie-a
remo freuler,Bologna,1704,87.7,92.4,91.0,64.6,1.5,1.6,0.5,204,24,4,2024-2025,serie-a
matteo gabbia,Milan,1316,91.2,94.5,96.2,71.2,0.2,0.2,-0.2,82,3,1,2024-2025,serie-a
tommaso gabellini,Torino,1,33.3,100.0,0.0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
tiago gabriel,Lecce,35,87.5,77.8,95.7,85.7,0.0,0.0,0.0,3,1,0,2024-2025,serie-a
alessandro gabrielloni,Como,28,57.1,65.0,88.2,0.0,0.8,0.2,0.2,3,1,0,2024-2025,serie-a
gianluca gaetano,Cagliari,258,72.3,79.7,71.7,67.4,2.2,2.3,1.8,27,13,0,2024-2025,serie-a
roberto gagliardini,Monza,107,86.3,94.6,93.5,50.0,0.2,0.0,-0.2,12,0,0,2024-2025,serie-a
antonino gallo,Lecce,822,66.2,84.5,71.1,39.7,2.7,2.7,-0.7,78,28,22,2024-2025,serie-a
silvere ganvoula mboussy,Monza,37,61.7,63.3,68.4,75.0,0.2,0.0,-0.2,3,0,0,2024-2025,serie-a
federico gatti,Juventus,1387,95.0,97.0,97.2,74.1,0.5,0.3,-0.5,58,3,0,2024-2025,serie-a
david de gea,Fiorentina,832,73.2,100.0,98.4,55.3,0.4,0.0,0.6,22,0,0,2024-2025,serie-a
valentin gendrey,Lecce,42,76.4,90.9,73.9,55.6,0.1,0.1,-0.1,5,2,1,2024-2025,serie-a
daniele ghilardi,Hellas Verona,633,78.4,89.6,86.4,46.4,0.2,0.4,-0.2,59,3,3,2024-2025,serie-a
lautaro gianetti,Udinese,317,82.6,90.7,84.7,60.8,0.1,0.3,-0.1,13,2,0,2024-2025,serie-a
samuel gigot,Lazio,287,92.0,94.4,95.6,61.1,0.0,0.1,0.0,13,0,0,2024-2025,serie-a
mario gila,Lazio,1877,91.6,94.8,95.6,77.7,0.6,1.0,-0.6,161,9,1,2024-2025,serie-a
billy gilmour,Napoli,804,88.5,90.7,92.7,70.3,1.8,1.9,-0.8,65,12,2,2024-2025,serie-a
santiago gimenez,Milan,79,80.6,85.5,78.6,0.0,0.9,0.5,1.1,5,2,1,2024-2025,serie-a
gvidas gineitis,Torino,399,74.7,85.5,84.2,47.1,2.0,2.2,-1.0,38,7,2,2024-2025,serie-a
ben godfrey,Atalanta,8,80.0,100.0,66.7,100.0,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
saba goglichidze,Empoli,724,77.9,86.6,87.7,51.1,0.3,0.2,0.7,48,1,1,2024-2025,serie-a
edoardo goldaniga,Como,1310,86.4,94.5,91.8,54.0,0.3,0.4,-0.3,80,6,1,2024-2025,serie-a
pierluigi gollini,Genoa,206,82.4,100.0,100.0,59.3,0.0,0.0,0.0,3,0,0,2024-2025,serie-a
nicolas gonzalez,Juventus,484,76.0,82.5,84.2,60.0,1.1,1.2,0.9,28,19,1,2024-2025,serie-a
robin gosens,Fiorentina,1020,76.5,85.0,79.0,50.8,2.4,1.7,2.6,71,32,10,2024-2025,serie-a
lucas gournadouath,Roma,104,91.2,93.1,93.5,100.0,0.1,0.1,-0.1,11,0,0,2024-2025,serie-a
alberto grassi,Empoli,634,74.6,81.6,80.9,44.0,0.8,0.7,-0.8,65,7,0,2024-2025,serie-a
matteo guendouzi,Lazio,1961,89.8,93.7,94.0,76.9,3.2,2.8,-0.2,287,33,3,2024-2025,serie-a
frederic guilbert,Lecce,981,76.8,87.4,81.5,54.4,1.8,2.1,-0.8,81,23,15,2024-2025,serie-a
albert gumundsson,Fiorentina,415,83.0,93.0,84.0,43.8,1.8,1.0,-0.8,34,2,0,2024-2025,serie-a
emmanuel gyasi,Empoli,836,77.1,85.9,80.1,52.7,0.7,1.7,0.3,44,20,8,2024-2025,serie-a
christian gytkjr,Venezia,87,55.4,60.8,59.4,57.1,0.5,0.3,0.5,5,3,0,2024-2025,serie-a
nicolas haas,Empoli,99,81.8,82.3,88.6,55.6,0.1,0.0,-0.1,5,0,0,2024-2025,serie-a
saad el haddad,Venezia,11,78.6,100.0,80.0,100.0,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
antoine hainaut,Parma,372,75.0,80.6,77.5,49.1,1.0,1.4,-1.0,28,15,8,2024-2025,serie-a
mohamed haj,Parma,118,78.1,84.6,82.7,50.0,1.2,0.7,0.8,12,6,3,2024-2025,serie-a
ridgeciano haps,Venezia,460,77.7,90.0,82.0,48.5,0.7,0.8,0.3,33,12,6,2024-2025,serie-a
abdou harroui,Hellas Verona,160,79.2,90.6,78.3,40.0,0.4,0.6,1.6,16,3,2,2024-2025,serie-a
liam henderson,Empoli,730,72.9,82.1,80.6,41.3,3.9,3.0,0.1,93,22,11,2024-2025,serie-a
mario hermoso,Roma,182,90.1,90.5,94.3,78.9,0.0,0.1,0.0,17,2,1,2024-2025,serie-a
theo hernandez,Milan,1373,83.8,91.9,88.6,49.7,4.7,4.1,-1.7,96,32,12,2024-2025,serie-a
hernani,Parma,463,75.3,85.0,81.2,58.1,1.5,1.3,1.5,45,14,2,2024-2025,serie-a
isak hien,Atalanta,1146,89.7,90.2,93.5,81.6,0.1,0.2,-0.1,43,1,0,2024-2025,serie-a
emil holm,Bologna,560,76.2,86.7,81.7,52.8,0.7,0.9,0.3,47,14,8,2024-2025,serie-a
mats hummels,Roma,389,89.0,94.0,93.6,65.9,0.1,0.1,-0.1,15,0,0,2024-2025,serie-a
elseid hysaj,Lazio,214,81.1,89.1,83.3,73.5,1.6,1.1,1.4,19,9,6,2024-2025,serie-a
arijon ibrahimovic,Lazio,3,75.0,75.0,,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
jay idzes,Venezia,1457,86.0,90.7,91.5,54.2,0.7,0.4,-0.7,65,4,1,2024-2025,serie-a
jonathan ikone,Como,136,81.0,83.2,90.0,80.0,0.2,0.6,-0.2,8,7,0,2024-2025,serie-a
jonathan ikone,Fiorentina,86,84.3,91.2,81.3,75.0,0.1,0.4,-0.1,7,4,0,2024-2025,serie-a
ivan ilic,Torino,451,83.4,86.6,87.4,71.4,1.1,0.9,-1.1,39,16,3,2024-2025,serie-a
samuel ilingjunior,Bologna,62,71.3,85.7,73.5,41.7,0.1,0.2,-0.1,4,3,1,2024-2025,serie-a
alessio iovine,Como,170,75.2,86.4,82.8,47.6,0.2,0.2,-0.2,7,3,3,2024-2025,serie-a
gustav isaksen,Lazio,610,76.6,88.9,79.7,56.2,2.1,2.8,-0.1,19,24,10,2024-2025,serie-a
ardian ismajli,Empoli,872,86.8,89.1,92.7,64.2,0.0,0.1,0.0,12,0,0,2024-2025,serie-a
armando izzo,Monza,1305,87.9,92.6,92.7,66.8,0.8,0.3,0.2,55,6,1,2024-2025,serie-a
fellipe jack,Como,77,78.6,92.5,84.4,70.6,0.1,0.0,-0.1,6,1,0,2024-2025,serie-a
ali jasim,Como,7,77.8,100.0,33.3,,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
gaby jean,Lecce,727,84.3,92.8,88.8,50.5,0.1,0.1,-0.1,33,1,1,2024-2025,serie-a
juan jesus,Napoli,764,89.6,93.5,94.3,74.6,0.0,0.1,1.0,40,2,0,2024-2025,serie-a
alejandro jimenez,Milan,452,80.1,86.4,84.9,63.5,1.3,1.3,-0.3,33,12,5,2024-2025,serie-a
orir johann helgason,Lecce,255,64.6,74.6,75.6,47.9,1.1,0.9,2.9,23,13,4,2024-2025,serie-a
