Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
daniel svensson,Dortmund,394,79.3,91.2,84.5,48.3,1.2,1.3,1.8,29,11,4,2024-2025,bundesliga
haris tabakovic,Hoffenheim,134,62.9,65.6,63.8,100.0,1.2,0.9,-0.2,8,2,1,2024-2025,bundesliga
jonathan tah,Leverkusen,2145,92.9,95.3,96.1,72.8,0.4,1.9,-0.4,202,6,3,2024-2025,bundesliga
edmond tapsoba,Leverkusen,1703,86.4,94.4,89.7,54.7,0.2,1.3,-0.2,195,9,2,2024-2025,bundesliga
mathys tel,Bayern Munich,108,84.4,87.9,90.7,57.1,0.3,0.6,0.7,5,4,1,2024-2025,bundesliga
nathan tella,Leverkusen,256,74.6,86.6,80.4,42.1,1.5,1.6,2.5,15,10,2,2024-2025,bundesliga
martin terrier,Leverkusen,163,81.9,90.8,81.6,66.7,0.9,1.7,0.1,6,5,1,2024-2025,bundesliga
arthur theate,Eint Frankfurt,1539,82.6,92.9,87.0,52.7,1.0,1.7,-1.0,184,22,5,2024-2025,bundesliga
norman theuerkauf,Heidenheim,17,85.0,88.9,80.0,100.0,0.0,0.0,0.0,2,0,0,2024-2025,bundesliga
denis thomalla,Heidenheim,1,100.0,,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
phillip tietz,Augsburg,300,62.4,69.6,66.9,44.4,1.2,1.4,0.8,18,9,1,2024-2025,bundesliga
umut tohumcu,Hoffenheim,110,82.7,88.1,85.7,50.0,0.4,0.3,0.6,8,0,0,2024-2025,bundesliga
john tolkin,Holstein Kiel,250,67.9,87.1,73.5,34.7,0.7,1.1,1.3,14,5,1,2024-2025,bundesliga
tiago tomas,Wolfsburg,329,69.3,76.6,71.5,52.6,2.6,1.5,-1.6,33,13,3,2024-2025,bundesliga
bazoumana toure,Hoffenheim,125,66.8,73.9,64.7,64.7,1.9,1.8,1.1,9,11,5,2024-2025,bundesliga
lucas tousart,Union Berlin,108,66.7,79.1,63.8,37.5,0.5,0.6,0.5,7,4,0,2024-2025,bundesliga
omar traore,Heidenheim,989,70.7,84.8,74.3,46.0,1.6,3.3,-0.6,101,36,14,2024-2025,bundesliga
kevin trapp,Eint Frankfurt,693,73.2,100.0,97.9,38.0,0.0,0.0,0.0,7,0,0,2024-2025,bundesliga
philipp treu,St. Pauli,1225,80.0,90.6,81.6,45.3,2.5,2.8,-0.5,62,19,8,2024-2025,bundesliga
christopher trimmel,Union Berlin,474,60.5,81.9,64.8,42.3,2.1,3.2,0.9,60,18,10,2024-2025,bundesliga
tuta,Eint Frankfurt,1265,87.7,93.7,94.0,54.0,0.3,0.7,0.7,79,11,0,2024-2025,bundesliga
lukas ullrich,Gladbach,647,76.1,89.3,78.5,38.8,1.8,1.9,0.2,29,9,6,2024-2025,bundesliga
sven ulreich,Bayern Munich,25,83.3,100.0,100.0,50.0,0.0,0.0,0.0,1,0,0,2024-2025,bundesliga
deniz undav,Stuttgart,431,73.2,81.7,74.2,56.5,3.6,3.8,-0.6,38,27,2,2024-2025,bundesliga
dayot upamecano,Bayern Munich,1805,93.9,93.9,96.7,83.1,0.5,1.2,-0.5,197,3,1,2024-2025,bundesliga
jonas urbig,Bayern Munich,232,81.1,100.0,98.4,56.0,0.0,0.1,0.0,8,1,0,2024-2025,bundesliga
can uzun,Eint Frankfurt,239,79.9,86.6,87.6,56.7,1.1,1.1,-0.1,25,18,4,2024-2025,bundesliga
josha vagnoman,Stuttgart,725,80.4,88.0,82.5,59.8,2.1,2.2,-1.1,36,18,9,2024-2025,bundesliga
siebe van der heyden,St. Pauli,386,79.3,89.4,86.3,51.5,0.0,0.2,0.0,36,6,3,2024-2025,bundesliga
maarten vandevoordt,RB Leipzig,138,78.9,100.0,100.0,49.3,0.0,0.0,0.0,3,0,0,2024-2025,bundesliga
ruben vargas,Augsburg,118,83.7,90.7,80.6,78.6,0.7,1.1,-0.7,7,5,1,2024-2025,bundesliga
nikola vasilj,St. Pauli,1033,73.6,99.5,98.9,43.1,0.0,0.2,0.0,40,2,0,2024-2025,bundesliga
denis vavro,Wolfsburg,1297,86.9,88.7,94.4,70.7,0.2,0.5,-0.2,102,6,0,2024-2025,bundesliga
milos veljkovic,Werder Bremen,562,86.7,94.8,91.4,69.3,0.2,0.6,0.8,50,4,3,2024-2025,bundesliga
nikolas veratschnig,Mainz 05,106,72.6,79.7,75.4,58.3,0.3,0.3,-0.3,7,4,1,2024-2025,bundesliga
arthur vermeeren,RB Leipzig,821,86.1,87.7,90.5,69.8,0.9,1.3,1.1,71,6,0,2024-2025,bundesliga
yorbe vertessen,Union Berlin,133,66.2,76.0,71.9,35.7,1.6,1.8,-1.6,6,14,2,2024-2025,bundesliga
gabriel vidovic,Bayern Munich,8,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
gabriel vidovic,Mainz 05,6,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
kevin vogt,Union Berlin,790,88.1,95.4,92.0,68.5,0.0,0.3,0.0,71,8,0,2024-2025,bundesliga
kevin volland,Union Berlin,10,71.4,66.7,60.0,,0.1,0.2,-0.1,1,0,0,2024-2025,bundesliga
aster vranckx,Wolfsburg,166,82.2,90.3,89.0,66.7,0.0,0.4,0.0,16,2,0,2024-2025,bundesliga
robert wagner,St. Pauli,98,75.4,83.6,77.5,50.0,0.0,0.1,0.0,6,0,0,2024-2025,bundesliga
elye wahi,Eint Frankfurt,27,64.3,72.7,81.8,25.0,0.1,0.3,-0.1,2,3,1,2024-2025,bundesliga
hauke wahl,St. Pauli,1520,86.6,92.2,90.8,51.8,0.5,1.6,-0.5,120,8,1,2024-2025,bundesliga
paul wanner,Heidenheim,518,73.1,83.6,79.1,43.5,1.3,1.8,0.7,43,13,3,2024-2025,bundesliga
kjellarik watjen,Dortmund,3,37.5,50.0,33.3,,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
julian weigl,Gladbach,1557,88.3,91.9,91.6,78.5,1.1,1.9,0.9,121,18,1,2024-2025,bundesliga
timon weiner,Holstein Kiel,682,68.8,100.0,98.7,44.2,0.0,0.0,0.0,13,0,0,2024-2025,bundesliga
nelson weiper,Mainz 05,116,67.1,73.2,69.2,87.5,1.9,0.7,0.1,12,5,0,2024-2025,bundesliga
mitchell weiser,Werder Bremen,1151,73.9,84.6,75.9,48.9,4.7,5.4,4.3,74,40,12,2024-2025,bundesliga
noah weihaupt,St. Pauli,226,62.3,79.2,60.2,47.8,1.8,1.8,-1.8,19,15,11,2024-2025,bundesliga
noah weihaupt,Freiburg,37,74.0,95.5,73.3,37.5,0.0,0.1,0.0,2,2,1,2024-2025,bundesliga
silvan widmer,Mainz 05,208,74.0,84.3,71.8,60.0,0.4,0.5,0.6,15,6,2,2024-2025,bundesliga
patrick wimmer,Wolfsburg,427,65.7,72.2,73.4,57.1,2.9,3.4,1.1,55,23,4,2024-2025,bundesliga
jonas wind,Wolfsburg,432,70.6,74.9,75.0,65.7,4.2,4.7,-1.2,66,24,0,2024-2025,bundesliga
florian wirtz,Leverkusen,1370,78.3,87.6,74.2,51.9,7.0,9.4,5.0,96,65,8,2024-2025,bundesliga
dani de wit,Bochum,296,72.0,77.8,73.9,60.9,0.5,0.5,0.5,24,5,2,2024-2025,bundesliga
maximilian wittek,Bochum,1077,70.6,83.6,78.7,42.2,4.4,6.2,-4.4,114,37,18,2024-2025,bundesliga
marius wolf,Augsburg,826,68.5,82.7,72.7,46.3,3.2,4.4,-0.2,76,25,13,2024-2025,bundesliga
nick woltemade,Stuttgart,345,70.6,80.3,65.8,42.1,4.6,3.4,-2.6,31,23,0,2024-2025,bundesliga
jeong wooyeong,Union Berlin,381,75.3,86.9,72.0,41.7,1.7,2.1,0.3,30,20,5,2024-2025,bundesliga
granit xhaka,Leverkusen,2528,89.7,93.7,92.2,76.3,4.4,5.1,2.6,372,40,6,2024-2025,bundesliga
erencan yardimci,Hoffenheim,34,60.7,68.0,63.0,0.0,0.0,0.0,0.0,3,1,0,2024-2025,bundesliga
danaxel zagadou,Stuttgart,9,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
david zec,Holstein Kiel,733,87.7,91.4,93.2,66.7,0.5,0.3,-0.5,25,1,0,2024-2025,bundesliga
robin zentner,Mainz 05,732,62.9,100.0,99.1,38.9,0.3,0.2,-0.3,52,4,0,2024-2025,bundesliga
cedric zesiger,Augsburg,455,78.6,89.7,88.1,44.9,1.3,1.1,0.7,45,6,4,2024-2025,bundesliga
cedric zesiger,Wolfsburg,189,79.7,96.2,86.9,33.3,0.0,0.2,0.0,15,2,1,2024-2025,bundesliga
michael zetterer,Werder Bremen,1028,78.2,99.4,98.5,54.3,0.0,0.1,0.0,21,1,0,2024-2025,bundesliga
budu zivzivadze,Heidenheim,142,69.3,73.4,73.1,80.0,1.5,1.4,1.5,7,8,2,2024-2025,bundesliga
