Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
karl jakob hein,Valladolid,856,73.4,100.0,99.0,45.9,0.0,0.1,0.0,22,0,0,2024-2025,laliga
adnan januzaj,Las Palmas,242,69.1,87.7,77.4,43.0,1.1,1.6,-0.1,28,14,4,2024-2025,laliga
mikel jauregizar,Athletic Club,904,80.6,86.8,85.2,66.9,1.4,1.2,-0.4,106,11,1,2024-2025,laliga
john joe,Getafe,16,80.0,92.3,50.0,100.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
jofre,Espanyol,352,67.0,81.4,66.8,43.1,2.5,1.9,0.5,17,15,9,2024-2025,laliga
frenkie de jong,Barcelona,1084,94.4,97.8,95.7,87.2,2.0,2.0,0.0,140,12,0,2024-2025,laliga
joan jordan,Alavés,685,74.9,87.6,80.9,50.5,2.3,2.6,-0.3,102,15,5,2024-2025,laliga
juanmi,Getafe,105,76.6,82.3,84.4,80.0,0.3,0.2,-0.3,3,4,0,2024-2025,laliga
juanmi,Betis,58,82.9,90.7,75.0,100.0,0.4,0.1,-0.4,2,1,0,2024-2025,laliga
juanpe,Girona,507,87.3,92.4,94.5,62.0,0.2,0.1,-0.2,32,1,0,2024-2025,laliga
luiz lucio reis junior,Villarreal,359,73.1,98.9,97.6,44.2,0.0,0.0,0.0,6,0,0,2024-2025,laliga
vinicius junior,Real Madrid,673,74.7,82.9,78.4,64.6,8.0,7.0,0.0,53,36,6,2024-2025,laliga
stanko juric,Valladolid,636,84.2,88.0,89.7,57.4,0.5,0.3,-0.5,40,4,0,2024-2025,laliga
willy kambwala,Villarreal,521,87.7,92.8,94.4,55.6,0.1,0.1,-0.1,9,1,0,2024-2025,laliga
abdoulaye keita,Getafe,15,55.6,72.7,100.0,16.7,0.0,0.1,0.0,3,1,1,2024-2025,laliga
kenedy,Valladolid,1,50.0,50.0,,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
kike,Alavés,384,65.3,75.6,62.7,44.4,0.9,1.6,-0.9,30,6,1,2024-2025,laliga
koke,Atlético Madrid,1444,88.0,92.6,91.3,65.2,1.4,2.2,-0.4,134,22,6,2024-2025,laliga
jules kounde,Barcelona,1856,86.7,92.7,87.5,60.8,3.9,3.8,-0.9,154,29,8,2024-2025,laliga
alex kral,Espanyol,602,71.9,80.1,81.7,48.5,1.5,1.6,-0.5,74,12,4,2024-2025,laliga
ladislav krejci,Girona,1924,90.1,95.2,94.5,57.8,0.3,0.8,-0.3,150,12,2,2024-2025,laliga
takefusa kubo,Real Sociedad,694,72.1,85.0,71.4,48.5,4.5,3.8,-4.5,59,45,11,2024-2025,laliga
marash kumbulla,Espanyol,1189,84.5,91.7,93.4,55.2,0.0,0.3,0.0,43,4,2,2024-2025,laliga
luca de la torre,Celta Vigo,4,80.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
yoel lago,Celta Vigo,394,92.5,95.2,97.5,63.0,0.1,0.1,0.9,25,0,0,2024-2025,laliga
cyle larin,Mallorca,214,67.5,76.8,62.4,66.7,1.4,0.4,0.6,11,3,0,2024-2025,laliga
juanmi latasa,Valladolid,154,59.2,69.0,51.8,57.9,0.9,0.4,-0.9,11,5,1,2024-2025,laliga
toni lato,Mallorca,236,75.2,83.5,78.7,50.0,0.4,0.8,-0.4,19,11,10,2024-2025,laliga
robin le normand,Atlético Madrid,1174,90.4,94.2,95.4,53.4,0.5,1.0,-0.5,41,2,0,2024-2025,laliga
florian lejeune,Rayo Vallecano,1728,83.8,89.9,94.1,57.1,1.9,1.1,1.1,168,7,3,2024-2025,laliga
inigo lekue,Athletic Club,345,78.6,88.4,82.3,44.2,0.5,0.5,-0.5,31,2,2,2024-2025,laliga
thomas lemar,Atlético Madrid,57,83.8,93.3,88.0,50.0,0.2,0.2,-0.2,1,4,0,2024-2025,laliga
clement lenglet,Atlético Madrid,1193,87.5,93.8,94.0,62.7,1.1,0.7,-0.1,74,0,0,2024-2025,laliga
robert lewandowski,Barcelona,383,73.4,82.2,76.5,48.1,2.3,1.5,-0.3,31,9,0,2024-2025,laliga
samuel lino,Atlético Madrid,652,79.4,89.0,80.6,65.8,2.9,2.2,1.1,41,24,6,2024-2025,laliga
javier llabres,Mallorca,20,83.3,100.0,70.0,50.0,0.1,0.1,-0.1,0,1,1,2024-2025,laliga
diego llorente,Betis,1383,86.7,91.3,93.9,59.0,0.3,0.4,-0.3,68,3,0,2024-2025,laliga
marcos llorente,Atlético Madrid,1337,85.5,92.8,87.1,65.0,4.3,3.1,-0.3,90,26,14,2024-2025,laliga
giovani lo celso,Betis,766,79.0,88.2,81.5,54.8,4.9,5.2,-1.9,89,41,1,2024-2025,laliga
enzo loiodice,Las Palmas,377,85.1,88.2,87.0,78.6,0.2,0.2,-0.2,30,1,0,2024-2025,laliga
david lopez,Mallorca,43,81.1,100.0,95.5,22.2,0.0,0.0,0.0,0,1,0,2024-2025,laliga
david lopez,Girona,1879,92.1,95.1,96.1,66.7,0.6,1.3,0.4,145,6,0,2024-2025,laliga
diego lopez,Valencia,680,72.1,81.6,78.4,60.7,5.0,4.7,0.0,43,34,9,2024-2025,laliga
fer lopez,Celta Vigo,220,84.6,91.5,85.8,77.3,1.9,1.4,-1.9,19,12,0,2024-2025,laliga
fermin lopez,Barcelona,552,81.8,89.4,82.9,58.7,3.9,4.3,1.1,65,20,6,2024-2025,laliga
javi lopez,Real Sociedad,814,78.4,91.4,76.2,53.0,0.4,1.0,-0.4,49,14,7,2024-2025,laliga
pau lopez,Girona,18,75.0,100.0,100.0,40.0,0.0,0.1,0.0,2,1,0,2024-2025,laliga
roberto lopez,Leganés,152,73.1,83.5,84.3,46.2,0.9,0.5,0.1,22,2,1,2024-2025,laliga
unai lopez,Rayo Vallecano,1041,84.2,91.8,89.6,53.4,1.0,1.3,0.0,106,11,2,2024-2025,laliga
iker losada,Celta Vigo,96,75.0,82.4,78.0,62.5,0.3,0.6,-0.3,14,6,2,2024-2025,laliga
iker losada,Betis,107,75.4,83.9,73.5,50.0,0.3,0.2,-0.3,4,5,1,2024-2025,laliga
pol lozano,Espanyol,694,83.8,89.1,86.8,71.3,0.8,1.0,0.2,95,11,4,2024-2025,laliga
jose luis gaya,Valencia,775,77.8,89.6,83.9,47.7,2.6,3.2,-1.6,44,31,23,2024-2025,laliga
dodi lukebakio,Sevilla,780,74.1,87.7,74.6,45.0,4.5,4.0,-2.5,50,24,6,2024-2025,laliga
daniel luna,Mallorca,8,61.5,83.3,40.0,0.0,0.0,0.0,0.0,1,0,0,2024-2025,laliga
andriy lunin,Real Madrid,174,86.1,97.9,100.0,64.3,0.9,0.0,0.1,1,0,0,2024-2025,laliga
darwin machis,Valladolid,160,59.7,84.1,62.9,33.3,0.5,0.9,0.5,17,5,4,2024-2025,laliga
pablo maffeo,Mallorca,736,70.8,90.2,71.4,42.6,4.1,3.5,-2.1,49,34,25,2024-2025,laliga
jon magunazelaia,Real Sociedad,7,53.8,42.9,100.0,,0.0,0.1,0.0,0,0,0,2024-2025,laliga
giorgi mamardashvili,Valencia,732,67.8,100.0,98.7,38.0,0.1,0.1,-0.1,11,1,0,2024-2025,laliga
reinildo mandava,Atlético Madrid,515,84.2,94.0,82.6,44.4,0.1,0.2,-0.1,24,2,0,2024-2025,laliga
javier manquillo,Celta Vigo,335,89.8,92.3,94.8,56.5,0.0,0.1,0.0,22,2,0,2024-2025,laliga
marcao,Sevilla,284,90.2,97.6,93.2,67.6,0.0,0.1,0.0,14,0,0,2024-2025,laliga
oscar de marcos,Athletic Club,800,79.2,88.4,83.7,59.2,2.6,2.2,1.4,101,25,16,2024-2025,laliga
alberto mari,Valencia,2,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
jose maria gimenez,Atlético Madrid,1250,91.8,94.3,95.8,75.7,0.2,0.3,0.8,61,0,0,2024-2025,laliga
arkaitz mariezkurrena,Real Sociedad,47,69.1,78.6,85.7,25.0,0.1,0.2,-0.1,1,4,1,2024-2025,laliga
pablo marin,Real Sociedad,374,80.1,82.8,84.6,65.7,1.0,0.8,1.0,38,9,2,2024-2025,laliga
mika marmol,Las Palmas,1112,74.4,89.1,81.2,41.9,1.5,2.0,-0.5,119,16,7,2024-2025,laliga
mario maroto,Valladolid,31,75.6,87.5,77.8,75.0,0.1,0.0,0.9,3,0,0,2024-2025,laliga
unai marrero,Real Sociedad,46,80.7,100.0,96.2,57.1,0.0,0.0,0.0,0,0,0,2024-2025,laliga
carlos martin,Alavés,261,65.3,71.9,74.0,33.3,2.7,1.4,-0.7,15,7,4,2024-2025,laliga
diego martin,Las Palmas,8,53.3,71.4,50.0,50.0,0.0,0.0,0.0,1,0,0,2024-2025,laliga
gerard martin,Barcelona,656,83.1,90.6,88.2,46.0,1.1,1.7,1.9,27,16,4,2024-2025,laliga
ivan martin,Girona,1251,90.2,92.6,92.4,84.7,1.9,2.1,-0.9,101,15,3,2024-2025,laliga
