goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0,0,0,0,0.0,0,0.0,0,0.0,0,0,71.43,0,0.0,360,0,0,0,4,15,8,7,5,0,1,0,2,1,2,0,50,0,0,0.0,15,42.86,0,4,0,0,0,0,0,0.0,0,0,,0,0,0,Julen Agirrezabala,Athletic Club,1014412,2825
1,7,1,165,59.14,33,66.0,18,66.67,97,2,85.53,198,60.18,2533,50,47,17,32,0,0,0,24,2,0,0,0,0,200,0,1241,15,1,25.0,100,62.11,31,51,44,1,21,8,8,4.76,1,2,,0,0,1,Guido Rodríguez,Real Betis,609752,2816
1,8,0,46,65.71,42,63.64,8,66.67,18,1,88.73,88,64.71,2046,21,11,1,24,0,0,0,21,1,0,0,0,0,44,1,819,5,0,0.0,75,59.52,25,94,8,3,20,7,2,5.0,0,2,,0,1,0,José María Giménez,Atlético Madrid,325355,2836
9,0,1,66,46.15,22,38.6,22,51.16,18,3,74.76,88,44.0,1673,26,14,29,22,0,0,0,19,3,0,0,0,0,143,5,382,39,26,23.64,13,50.0,10,14,14,5,42,18,13,21.43,0,5,,0,1,0,Mikel Oyarzabal,Real Sociedad,823622,2824
1,1,0,11,64.71,1,33.33,2,100.0,5,0,80.63,12,60.0,301,4,3,3,5,0,0,0,4,0,0,0,0,0,36,1,129,6,2,12.5,5,55.56,4,5,0,0,4,1,2,25.0,0,0,,0,0,0,Lucas Olaza,Elche,333595,2846
0,1,0,2,50.0,8,88.89,0,0.0,1,0,79.2,10,76.92,3240,1,1,0,36,93,51,40,26,3,19,7,5,7,14,0,750,0,0,0.0,110,36.79,0,14,1,0,0,0,0,0.0,0,0,,0,1,0,Thibaut Courtois,Real Madrid,70988,2829
0,2,0,4,100.0,7,87.5,1,100.0,0,2,74.0,11,91.67,2790,3,0,0,31,76,46,30,18,6,24,8,12,8,19,1,706,2,0,0.0,186,43.56,0,23,0,0,0,0,0,0.0,0,0,,1,0,0,Bono,Sevilla,360938,2833
16,8,0,129,41.61,146,46.79,25,52.08,37,1,61.45,275,44.21,2809,71,77,55,37,0,0,0,34,1,0,0,0,0,159,1,389,29,3,21.43,9,60.0,5,36,37,6,86,28,24,18.6,2,14,,0,0,0,Enes Ünal,Getafe,336655,2859
3,8,0,162,48.36,113,57.36,28,59.57,71,2,77.6,275,51.69,2894,67,60,56,34,0,0,0,20,4,0,0,0,0,380,6,1341,31,7,30.43,80,50.63,21,56,41,6,45,15,12,6.67,2,4,,0,2,0,Mikel Merino,Real Sociedad,592010,2824
7,6,0,89,50.0,5,17.86,22,44.0,42,4,70.18,94,45.63,3005,25,23,13,36,0,0,0,38,6,0,0,0,0,244,9,579,43,42,21.65,28,35.44,42,15,27,4,68,24,12,10.29,4,11,,0,0,0,Álvaro García,Rayo Vallecano,345111,2818
1,5,0,60,60.0,61,62.89,7,87.5,39,0,82.43,121,61.42,1994,16,21,4,23,0,0,0,22,2,0,0,0,0,77,0,924,4,0,0.0,82,42.49,33,102,16,2,15,3,1,6.67,0,0,,1,0,0,Marc Bartra,Real Betis,99519,2816
2,2,0,33,48.53,14,38.89,4,40.0,23,3,92.64,47,45.19,2644,6,16,3,30,0,0,0,23,3,0,0,0,0,287,4,1750,22,6,15.0,53,48.62,22,67,10,1,21,7,7,9.52,0,2,,0,1,1,David Alaba,Real Madrid,66492,2829
16,5,0,83,43.68,32,45.07,29,67.44,39,4,78.13,115,44.06,2145,15,40,29,33,0,0,0,20,1,0,0,0,0,128,3,375,19,1,25.0,17,51.52,9,9,30,6,55,30,8,29.09,0,18,,1,0,0,Juanmi,Real Betis,96369,2816
0,13,0,141,48.45,28,51.85,32,64.0,62,5,77.6,169,48.99,2667,48,51,36,31,0,0,0,26,1,0,0,0,0,177,3,887,45,44,37.93,125,61.58,32,13,48,0,37,8,8,0.0,2,0,,0,0,0,Mauro Arambarri,Getafe,385888,2859
4,8,0,50,44.25,136,75.56,3,75.0,28,0,80.01,186,63.48,3105,21,53,3,35,0,0,0,41,4,0,0,0,0,134,1,1169,9,0,0.0,122,49.8,52,166,10,1,31,4,5,12.9,0,0,,0,0,0,David García,Osasuna,591136,2820
3,13,0,192,49.1,25,45.45,82,64.57,42,9,82.21,217,48.65,2023,68,59,66,32,0,0,0,19,2,0,0,0,0,279,7,753,60,37,31.36,36,62.07,13,11,35,2,23,9,8,13.04,0,4,,0,0,0,Óscar Trejo,Rayo Vallecano,21949,2818
0,4,0,7,70.0,16,94.12,2,100.0,3,0,47.29,23,85.19,3420,5,2,0,38,120,79,40,47,4,37,9,28,9,85,0,489,2,0,0.0,293,35.13,1,49,1,0,1,1,0,0.0,0,0,,2,2,0,Jeremías Ledesma,Cádiz,341097,4488
